Offsides pg,Rating,Right Side,Set Piece,Shots OT pg,Discipline,Middle of the pitch,Possession%,Dribbles pg,Penalty,Team,Interceptions pg,Counter Attack,PassSuccess%,Own Goal,Fouls pg,Shots pg,AerialsWon,Tackles pg,Fouled pg,R,Open Play,Left Side
0.9,6.76,38% - 38%,5,4,460,26% - 26%,43.8,9.4,2,Udinese,15.1,3,79.0,0,12.9,11.6,14.6,17.9,13.4,13,15,36% - 36%
2,6.70,41% - 41%,2,4.6,423,28% - 28%,50.9,9.3,2,Sampdoria,13.4,0,79.0,3,14.1,14.4,10.4,19.1,13.6,20,15,31% - 31%
2.5,6.82,35% - 35%,6,4.5,415,28% - 28%,51.8,10.1,4,AC Milan,11.6,0,82.5,2,14.6,14,13,16.9,14,8,19,37% - 37%
2.4,6.72,36% - 36%,1,4.2,547,26% - 26%,50.9,8.6,1,Genoa,15.9,0,79.4,2,17.2,12.4,15,18.2,11.7,3,20,39% - 39%
2.9,6.67,35% - 35%,6,3.3,492,30% - 30%,47.1,6.3,2,Chievo,14.5,1,77.9,1,16.2,10.4,18.8,15.8,13.8,17,11,34% - 34%
1.7,6.83,38% - 38%,5,4.4,501,29% - 29%,47.9,9,5,Sassuolo,15.7,0,76.8,0,14.2,12.4,14.3,18.9,14.5,18,23,33% - 33%
2.5,6.69,33% - 33%,5,4.1,396,26% - 26%,47.8,8.1,1,Bologna,15.7,1,79.9,0,12.2,11.2,11.8,17.6,13.4,2,13,41% - 41%
2.4,6.91,37% - 37%,9,5.2,521,24% - 24%,49.6,10.1,5,Lazio,15.2,1,79.9,0,14.6,14.9,15.5,21.3,11.4,5,20,39% - 39%
2.1,6.97,36% - 36%,7,5.7,413,27% - 27%,55.3,11.7,1,Inter,16,1,82.7,0,13.9,17.8,15.4,20.4,14.3,7,25,38% - 38%
2.7,6.67,32% - 32%,3,2.8,622,27% - 27%,49.2,10.2,1,Empoli,14.7,0,79.3,0,13.9,8.5,12.6,16,16.1,1,8,42% - 42%
2.1,6.98,31% - 31%,7,7,351,31% - 31%,58.7,10,2,Napoli,12,1,87.2,0,10.2,17.8,10,15.8,12.8,6,37,39% - 39%
2.3,6.83,43% - 43%,6,4.8,492,24% - 24%,49.3,9.2,4,Torino,15.7,0,80.8,0,16.2,15.1,11.2,17.8,12,19,28,33% - 33%
2.2,6.99,39% - 39%,10,5.6,400,27% - 27%,54.3,9.9,2,Juventus,14.8,1,84.8,2,13.5,15.2,12.1,16.6,16,16,27,34% - 34%
2,6.88,39% - 39%,11,5.1,472,24% - 24%,49.9,11.2,4,Atalanta,18.5,0,80.9,0,16,14.5,11.8,15.2,15,12,18,37% - 37%
2.7,6.54,35% - 35%,6,3.4,443,28% - 28%,40.9,5.2,2,Crotone,15.1,0,68.1,0,16.1,10.1,14,18.4,12.9,10,8,37% - 37%
2.4,6.80,34% - 34%,8,5.7,511,32% - 32%,54.7,9.4,5,Fiorentina,13.2,1,83.9,0,14.9,14.6,10.2,14.4,14.9,15,19,34% - 34%
2.1,6.56,37% - 37%,5,2.9,575,26% - 26%,48.3,8.2,0,Palermo,17.8,1,78.5,0,16.2,9.9,13.2,18.1,14.2,11,11,37% - 37%
2,7.15,35% - 35%,5,5.9,390,28% - 28%,55.5,10.9,9,Roma,17.6,0,83.0,2,12.7,17.2,16.8,17,13.7,9,26,37% - 37%
2.7,6.60,34% - 34%,6,4.5,617,27% - 27%,45.2,6.1,2,Cagliari,15.3,0,76.3,2,13.9,10.3,14.7,16.5,13.3,4,21,39% - 39%
2.9,6.46,38% - 38%,2,3.6,473,26% - 26%,48.9,8.8,2,Pescara,13.6,0,80.4,0,14.5,12.4,9.8,16.5,14,14,10,36% - 36%
